Language,English,Russian,Ukrainian,Simplified Chinese,Traditional Chinese,Finnish,German,Swissgerman,Spanish ,Portuguese (Brazilian),Italian,Română/Moldoveneasca,French,Nederlands,Persian,Български / Bulgarian,Swedish
Lang code,en,ru,ua,zh-cmn-Hans,zh-cmn-Hant,fi,de,chde,es,br,it,ro-md,fr,nl,fa,bg,se
,@veikus,@veikus,@Ukrrooter,@aerocaterpillar,@aerocaterpillar,@Igetin,@murco,@murco,"@YersonPerez, @JorgeDominguez",@Daleprani - @ILuminadoES,"@gible, @OniKoi",@nbloos,@Kbueno ; @Coquelibio,@Lord_Roest,@kind_brother,@sonaris,@gloeckgal
module compression,,,,,,,,,,,,,,,,Модулно компресиране,
welcome,You can get uncompressed images (increase data transfer),Вы можете отключить сжатие изображений (требуется больше трафика),Ви можете вимкнути стиснення зображень (потребує більше трафіку),你可以收到未经压缩的图片（会增加传输的数据）,你可以收到未經壓縮的圖片（會增加傳輸的數據）,"Haluaisitko kuvat pakkattuina? Kuvat saapuvat näin nopeammin, mutta eivät ole niin tarkkoja.",Bilder können unkomprimiert versendet werden (erhöhtes Datenvolumen).,Bilder chönd unkomprimiert gschickt werde (meh Dateverbruuch).,Puedes obtener imagenes sin comprimir (aumenta la transferencia de datos),Você pode obter imagens não compactadas (aumenta a transferência de dados),Puoi ricevere le immagini non compresse (aumento del traffico),Dumneavoastră puteți deactiva comprimarea imaginilor (E nevoie de mai mult trafic),Vous pouvez décompresser les images (augmente la taille du fichier),U kan in gecomprimeerde afbeeldingen krijgen (maakt dataoverdracht klijner),شما میتوناید تصاویر غیر فشرده دریافت کنید(کیفیت تصاویر و حجمشان در اینصورت بیشتر است!),Възможно е да използвате некомпресирани .png изображения ( увеличава трафика ),du kan få okomprimerade bilder (ökad datavolym)
enable,Enable compression,Включить сжатие,Увімкнути стиснення,启用压缩,啟用壓縮,Ota kuvien pakkaus käyttöön!,Komprimierung aktivieren,Komprimierig aktiviere,Habilitar compresión,Habilitar compactação,Abilita la compressione,Activați comprimarea,Compression activée,Gecomprimeerde bestanden aan zetten,فشرده سازی فعال شود,Използвай .png компресия,aktivera komprimering
disable,Disable compression,Отключить сжатие,Вимкнути стиснення,停用压缩,停用壓縮,Ei kiitos.,Komprimierung deaktivieren,Komprimierig deaktiviere,Deshabilitar compresión,Desabilitar compactação,Disabilita la compressione,Deactivați comprimarea,Compression désactivée,Gecomprimeerde bestanden uit zetten,فشرده سازی غیر فعال شود,Не използвай .png компресия,deaktivera komprimering
saved,Changes saved,Изменения сохранены,Зміни збережено,修改已保存,修改已保存,Muutokset tallennettu.,Änderungen gespeichert,Änderige gspeicheret,Cambios guardados.,Alterações salvas,Modifiche salvate,Schimbările au fost salvate,Changements sauvegardés,Wijzigingen opgeslagen,تغییرات ذخیره شد!,Благидаря! Промените са съхранени,Ändringar är sparade
,,,,,,,,,,,,,,,,,
module help,,,,,,,,,,,,,,,,Помощ !,
line_1,"Send your location to the bot, then select map zoom (3 - 17). Happy Ingressing!","Вышлите боту свои координаты, затем укажите уровень зума и через несколько минут вы получите скриншот интела","Надішліть боту свої координати, далі вкажіть рівень наближення, і за декілька хвилин Ви отримаєте знімок інтелу",把你的位置发送给机器人，然后选择放大等级（3 - 17）. 玩得开心哦!,把你的位置發送給機器人，然後選擇放大等級（3 - 17）. 玩得開心哦!,Lähetä sijaintisi botille ja valitse zoomaustaso (3–17).,Sende deinen Standort und wähle danach ein Zoom Level (3 - 17).,Schick zerscht din Standort und wähl den es Zoom Level uus (3 - 17).,"Envía tu ubicación al bot, luego selecciona el zoom del mapa (3 - 17). ¡Feliz Ingressing!","Envie a sua localização para o bot, em seguida, selecione o zoom do mapa (3-17).  Feliz Ingressing!",Manda la tua posizione al bot e seleziona lo zoom della mappa (3 - 17). Buon divertimento!,"Transmiteți botului coordonatele dumneavoastră, apoi selectati nivelul de zoom, și în cîteva minute veți primi un screenshot Intel","Envoyez votre localisation au bot, puis choisissez un zoom (3 - 17). Joyeux Ingress !","Stuur uw locatie naar de bot, selecteer daarna de map met zoom (3 - 17). ",مکان خودتون رو به ربات بفرستید سپس مقدار بزرگنمایی نقشه را انتخاب کنید ,"Изпратете своята локация на Bot-а, след това изберете ниво на увеличение ( от 3 - до 17).","Skicka din plats till botten,välj sedan zoomgrad (3 - 17) Ha kul med Ingress!"
